State,Pete,Robert,Jim,Angela,Nellie,Jan,Andy,Holly,Pam,Oscar,Jo,Phyllis,Meredith,Michael,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Dwight,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 1 Episode 1,0,0,36,1,0,12,0,0,41,3,0,2,0,81,8,0,0,0,0,0,29,0,0,0,0,0,5,0,5,1
Season 1 Episode 2,0,0,25,4,0,0,0,0,12,13,0,0,0,75,4,0,0,0,2,0,17,0,0,0,2,0,0,0,5,8
Season 1 Episode 3,0,0,42,5,0,18,0,0,32,9,0,0,3,56,1,0,0,0,0,0,62,0,0,0,0,0,0,0,6,6
Season 1 Episode 4,0,0,49,7,0,0,0,0,22,14,0,5,10,68,4,0,0,0,0,0,47,0,0,0,4,0,3,0,2,3
Season 1 Episode 5,0,0,21,3,0,0,0,0,14,2,0,4,0,104,8,0,15,0,0,0,25,0,0,0,0,0,12,0,3,1
Season 1 Episode 6,0,0,55,3,0,8,0,0,45,1,0,0,0,103,12,0,0,0,0,0,28,0,0,0,7,0,14,0,3,5
Season 2 Episode 1,0,0,32,1,0,9,0,0,41,2,0,10,0,96,2,0,1,0,7,0,32,0,0,0,0,0,6,0,8,1
Season 2 Episode 2,0,0,16,2,0,11,0,0,27,0,0,6,1,100,1,0,9,0,0,0,11,0,0,0,26,0,14,0,1,6
Season 2 Episode 3,0,0,55,6,0,0,0,0,33,10,0,2,1,83,5,0,0,0,0,0,55,0,0,0,0,0,0,0,3,9
Season 2 Episode 4,0,0,51,17,0,0,0,0,22,4,0,6,4,69,40,0,0,0,4,0,65,0,0,0,0,0,6,0,5,5
Season 2 Episode 5,0,0,30,13,0,0,0,0,27,7,0,3,0,108,1,0,0,0,3,0,33,0,16,0,0,0,0,0,3,2
Season 2 Episode 6,0,0,49,3,0,0,0,0,25,0,0,0,0,85,18,0,0,0,3,0,64,0,0,0,5,0,0,0,3,3
Season 2 Episode 7,0,0,39,0,0,46,0,0,32,4,0,4,0,73,6,0,0,0,1,0,22,0,0,0,1,0,1,0,0,1
Season 2 Episode 8,0,0,26,5,0,52,0,0,30,1,0,1,0,103,1,0,0,0,2,0,42,0,1,0,1,0,0,0,4,4
Season 2 Episode 9,0,0,53,13,0,0,0,0,38,6,0,4,0,80,2,0,0,0,1,0,34,0,0,0,0,0,0,0,2,8
Season 2 Episode 10,0,0,27,9,0,0,0,0,17,8,0,5,10,87,15,0,11,0,8,0,42,0,4,0,3,0,8,0,5,11
Season 2 Episode 11,0,0,29,1,0,0,0,0,17,1,0,4,3,75,2,0,3,0,4,0,22,0,0,0,0,0,11,0,8,0
Season 2 Episode 12,0,0,55,5,0,0,0,0,57,3,0,3,1,124,13,0,0,0,1,0,60,0,1,0,7,0,0,0,4,2
Season 2 Episode 13,0,0,50,5,0,0,0,0,27,9,0,0,0,92,7,0,0,0,5,0,38,0,3,0,3,0,0,0,3,8
Season 2 Episode 14,0,0,27,2,0,0,0,0,28,5,0,1,0,101,13,0,3,0,10,0,25,0,9,0,1,0,6,0,2,7
Season 2 Episode 15,0,0,22,5,0,55,0,0,26,0,0,9,5,76,2,0,27,0,9,0,12,0,0,0,0,0,15,0,1,4
Season 2 Episode 16,0,0,16,4,0,16,0,0,23,2,0,3,2,45,4,12,0,0,13,0,19,0,0,0,0,0,5,0,0,5
Season 2 Episode 17,0,0,35,4,0,0,0,0,19,3,0,4,0,52,7,0,0,0,5,0,49,0,4,0,4,0,0,0,5,4
Season 2 Episode 18,0,0,17,4,0,0,0,0,21,1,0,0,2,77,10,0,1,0,6,0,23,0,4,0,13,0,1,0,6,5
