Label,Michael,Jim,Pam,Dwight,Andy,Pete,Robert,Angela,Nellie,Jan,Holly,Oscar,Jo,Phyllis,Meredith,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 1 Episode 1,36.16071429,16.07142857,18.30357143,12.94642857,0,0,0,0.446428571,0,5.357142857,0,1.339285714,0,0.892857143,0,3.571428571,0,0,0,0,0,0,0,0,0,0,2.232142857,0,2.232142857,0.446428571
Season 1 Episode 2,44.91017964,14.97005988,7.185628743,10.17964072,0,0,0,2.395209581,0,0,0,7.784431138,0,0,0,2.395209581,0,0,0,1.19760479,0,0,0,0,1.19760479,0,0,0,2.994011976,4.790419162
Season 1 Episode 3,23.33333333,17.5,13.33333333,25.83333333,0,0,0,2.083333333,0,7.5,0,3.75,0,0,1.25,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
Season 1 Episode 4,28.57142857,20.58823529,9.243697479,19.74789916,0,0,0,2.941176471,0,0,0,5.882352941,0,2.100840336,4.201680672,1.680672269,0,0,0,0,0,0,0,0,1.680672269,0,1.260504202,0,0.840336134,1.260504202
Season 1 Episode 5,49.05660377,9.905660377,6.603773585,11.79245283,0,0,0,1.41509434,0,0,0,0.943396226,0,1.886792453,0,3.773584906,0,7.075471698,0,0,0,0,0,0,0,0,5.660377358,0,1.41509434,0.471698113
Season 1 Episode 6,36.26760563,19.36619718,15.84507042,9.85915493,0,0,0,1.056338028,0,2.816901408,0,0.352112676,0,0,0,4.225352113,0,0,0,0,0,0,0,0,2.464788732,0,4.929577465,0,1.056338028,1.76056338
Season 2 Episode 1,38.70967742,12.90322581,16.53225806,12.90322581,0,0,0,0.403225806,0,3.629032258,0,0.806451613,0,4.032258065,0,0.806451613,0,0.403225806,0,2.822580645,0,0,0,0,0,0,2.419354839,0,3.225806452,0.403225806
Season 2 Episode 2,43.29004329,6.926406926,11.68831169,4.761904762,0,0,0,0.865800866,0,4.761904762,0,0,0,2.597402597,0.432900433,0.432900433,0,3.896103896,0,0,0,0,0,0,11.25541126,0,6.060606061,0,0.432900433,2.597402597
Season 2 Episode 3,31.67938931,20.99236641,12.59541985,20.99236641,0,0,0,2.290076336,0,0,0,3.816793893,0,0.763358779,0.381679389,1.908396947,0,0,0,0,0,0,0,0,0,0,0,0,1.145038168,3.435114504
Season 2 Episode 4,23.15436242,17.11409396,7.382550336,21.81208054,0,0,0,5.704697987,0,0,0,1.342281879,0,2.013422819,1.342281879,13.42281879,0,0,0,1.342281879,0,0,0,0,0,0,2.013422819,0,1.677852349,1.677852349
Season 2 Episode 5,43.90243902,12.19512195,10.97560976,13.41463415,0,0,0,5.284552846,0,0,0,2.845528455,0,1.219512195,0,0.406504065,0,0,0,1.219512195,0,0,6.504065041,0,0,0,0,0,1.219512195,0.81300813
Season 2 Episode 6,32.94573643,18.99224806,9.689922481,24.80620155,0,0,0,1.162790698,0,0,0,0,0,0,0,6.976744186,0,0,0,1.162790698,0,0,0,0,1.937984496,0,0,0,1.162790698,1.162790698
Season 2 Episode 7,31.73913043,16.95652174,13.91304348,9.565217391,0,0,0,0,0,20,0,1.739130435,0,1.739130435,0,2.608695652,0,0,0,0.434782609,0,0,0,0,0.434782609,0,0.434782609,0,0,0.434782609
Season 2 Episode 8,37.72893773,9.523809524,10.98901099,15.38461538,0,0,0,1.831501832,0,19.04761905,0,0.366300366,0,0.366300366,0,0.366300366,0,0,0,0.732600733,0,0,0.366300366,0,0.366300366,0,0,0,1.465201465,1.465201465
Season 2 Episode 9,33.19502075,21.99170124,15.76763485,14.10788382,0,0,0,5.394190871,0,0,0,2.489626556,0,1.659751037,0,0.829875519,0,0,0,0.414937759,0,0,0,0,0,0,0,0,0.829875519,3.319502075
Season 2 Episode 10,32.22222222,10,6.296296296,15.55555556,0,0,0,3.333333333,0,0,0,2.962962963,0,1.851851852,3.703703704,5.555555556,0,4.074074074,0,2.962962963,0,0,1.481481481,0,1.111111111,0,2.962962963,0,1.851851852,4.074074074
Season 2 Episode 11,41.66666667,16.11111111,9.444444444,12.22222222,0,0,0,0.555555556,0,0,0,0.555555556,0,2.222222222,1.666666667,1.111111111,0,1.666666667,0,2.222222222,0,0,0,0,0,0,6.111111111,0,4.444444444,0
